,iso2_code,language,year_quarter,unique_id,num_pushers,language_type,year,quarter,gpt_available,population,num_pushers_pc,post_gpt,Treatment
230,AL,PHP,2021-Q3,AL-PHP,224,programming,2021,7,1,2895947,7.734948187932997,0,0
231,AL,PHP,2021-Q4,AL-PHP,204,programming,2021,8,1,2895947,7.0443278140104075,0,0
232,AL,PHP,2022-Q1,AL-PHP,290,programming,2022,9,1,2895947,10.013995421877542,0,0
233,AL,PHP,2022-Q2,AL-PHP,438,programming,2022,10,1,2895947,15.124586188904699,0,0
234,AL,PHP,2022-Q3,AL-PHP,223,programming,2022,11,1,2895947,7.700417169236868,0,0
235,AL,PHP,2022-Q4,AL-PHP,196,programming,2022,12,1,2895947,6.768079664441373,1,1
236,AL,PHP,2023-Q1,AL-PHP,233,programming,2023,13,1,2895947,8.045727356198162,1,1
237,AL,PHP,2023-Q2,AL-PHP,347,programming,2023,14,1,2895947,11.982263487556919,1,1
238,AL,PHP,2023-Q3,AL-PHP,159,programming,2023,15,1,2895947,5.490431972684583,1,1
239,AL,PHP,2023-Q4,AL-PHP,164,programming,2023,16,1,2895947,5.663087066165231,1,1
240,AL,TypeScript,2020-Q1,AL-TypeScript,167,programming,2020,1,1,2895947,5.766680122253619,0,0
241,AL,TypeScript,2020-Q2,AL-TypeScript,125,programming,2020,2,1,2895947,4.316377337016181,0,0
242,AL,TypeScript,2020-Q3,AL-TypeScript,164,programming,2020,3,1,2895947,5.663087066165231,0,0
243,AL,TypeScript,2020-Q4,AL-TypeScript,165,programming,2020,4,1,2895947,5.69761808486136,0,0
244,AL,TypeScript,2021-Q1,AL-TypeScript,210,programming,2021,5,1,2895947,7.251513926187186,0,0
245,AL,TypeScript,2021-Q2,AL-TypeScript,294,programming,2021,6,1,2895947,10.152119496662058,0,0
246,AL,TypeScript,2021-Q3,AL-TypeScript,220,programming,2021,7,1,2895947,7.596824113148479,0,0
247,AL,TypeScript,2021-Q4,AL-TypeScript,227,programming,2021,8,1,2895947,7.838541244021386,0,0
248,AL,TypeScript,2022-Q1,AL-TypeScript,276,programming,2022,9,1,2895947,9.530561160131729,0,0
249,AL,TypeScript,2022-Q2,AL-TypeScript,415,programming,2022,10,1,2895947,14.330372758893724,0,0
250,AL,TypeScript,2022-Q3,AL-TypeScript,352,programming,2022,11,1,2895947,12.154918581037567,0,0
251,AL,TypeScript,2022-Q4,AL-TypeScript,289,programming,2022,12,1,2895947,9.979464403181412,1,1
252,AL,TypeScript,2023-Q1,AL-TypeScript,280,programming,2023,13,1,2895947,9.668685234916246,1,1
253,AL,TypeScript,2023-Q2,AL-TypeScript,362,programming,2023,14,1,2895947,12.50022876799886,1,1
254,AL,TypeScript,2023-Q3,AL-TypeScript,371,programming,2023,15,1,2895947,12.811007936264026,1,1
255,AL,TypeScript,2023-Q4,AL-TypeScript,359,programming,2023,16,1,2895947,12.396635711910474,1,1
256,AL,C#,2020-Q1,AL-C#,140,programming,2020,1,1,2895947,4.834342617458123,0,0
257,AL,C#,2020-Q2,AL-C#,157,programming,2020,2,1,2895947,5.421369935292324,0,0
258,AL,C#,2020-Q3,AL-C#,125,programming,2020,3,1,2895947,4.316377337016181,0,0
259,AL,C#,2020-Q4,AL-C#,162,programming,2020,4,1,2895947,5.594025028772971,0,0
260,AL,C#,2021-Q1,AL-C#,173,programming,2021,5,1,2895947,5.973866234430395,0,0
261,AL,C#,2021-Q2,AL-C#,348,programming,2021,6,1,2895947,12.016794506253051,0,0
262,AL,C#,2021-Q3,AL-C#,239,programming,2021,7,1,2895947,8.252913468374938,0,0
